instance,N,edges,w,cut,best-known,%_of_best,wall_time_s,hardware,solver
G1,800,19176,+1,11623,11624,99.99,5.76,NVIDIA A100 80GB,Quicopt v0.1
G2,800,19176,+1,11617,11620,99.97,0.7,NVIDIA A100 80GB,Quicopt v0.1
G3,800,19176,+1,11621,11622,99.99,0.59,NVIDIA A100 80GB,Quicopt v0.1
G4,800,19176,+1,11646,,,0.61,NVIDIA A100 80GB,Quicopt v0.1
G5,800,19176,+1,11624,,,0.66,NVIDIA A100 80GB,Quicopt v0.1
G6,800,19176,±1,2175,,,0.61,NVIDIA A100 80GB,Quicopt v0.1
G7,800,19176,±1,2002,,,1.44,NVIDIA A100 80GB,Quicopt v0.1
G8,800,19176,±1,2002,,,0.61,NVIDIA A100 80GB,Quicopt v0.1
G9,800,19176,±1,2047,,,0.66,NVIDIA A100 80GB,Quicopt v0.1
G10,800,19176,±1,1997,,,0.62,NVIDIA A100 80GB,Quicopt v0.1
G11,800,1600,±1,556,564,98.58,0.39,NVIDIA A100 80GB,Quicopt v0.1
G12,800,1600,±1,550,556,98.92,0.31,NVIDIA A100 80GB,Quicopt v0.1
G13,800,1600,±1,574,582,98.63,0.42,NVIDIA A100 80GB,Quicopt v0.1
G14,800,4694,+1,3041,3064,99.25,1.26,NVIDIA A100 80GB,Quicopt v0.1
G15,800,4661,+1,3032,3050,99.41,1.34,NVIDIA A100 80GB,Quicopt v0.1
G16,800,4672,+1,3037,3052,99.51,1.27,NVIDIA A100 80GB,Quicopt v0.1
G17,800,4667,+1,3026,,,2.12,NVIDIA A100 80GB,Quicopt v0.1
G18,800,4694,±1,980,,,1.71,NVIDIA A100 80GB,Quicopt v0.1
G19,800,4661,±1,887,,,2.0,NVIDIA A100 80GB,Quicopt v0.1
G20,800,4672,±1,935,,,1.63,NVIDIA A100 80GB,Quicopt v0.1
G21,800,4667,±1,920,,,1.9,NVIDIA A100 80GB,Quicopt v0.1
G22,2000,19990,+1,13327,13359,99.76,1.0,NVIDIA A100 80GB,Quicopt v0.1
G23,2000,19990,+1,13326,,,1.7,NVIDIA A100 80GB,Quicopt v0.1
G24,2000,19990,+1,13312,,,0.83,NVIDIA A100 80GB,Quicopt v0.1
G25,2000,19990,+1,13313,13340,99.8,0.93,NVIDIA A100 80GB,Quicopt v0.1
G26,2000,19990,+1,13299,13328,99.78,0.93,NVIDIA A100 80GB,Quicopt v0.1
G27,2000,19990,±1,3307,3341,98.98,0.91,NVIDIA A100 80GB,Quicopt v0.1
G28,2000,19990,±1,3275,3298,99.3,0.79,NVIDIA A100 80GB,Quicopt v0.1
G29,2000,19990,±1,3374,3405,99.09,1.64,NVIDIA A100 80GB,Quicopt v0.1
G30,2000,19990,±1,3381,3413,99.06,0.81,NVIDIA A100 80GB,Quicopt v0.1
G31,2000,19990,±1,3290,3309,99.43,0.93,NVIDIA A100 80GB,Quicopt v0.1
G32,2000,4000,±1,1374,1410,97.45,0.46,NVIDIA A100 80GB,Quicopt v0.1
G33,2000,4000,±1,1346,1382,97.4,0.42,NVIDIA A100 80GB,Quicopt v0.1
G34,2000,4000,±1,1352,1384,97.69,0.4,NVIDIA A100 80GB,Quicopt v0.1
G35,2000,11778,+1,7618,,,2.2,NVIDIA A100 80GB,Quicopt v0.1
G36,2000,11766,+1,7615,7678,99.18,3.96,NVIDIA A100 80GB,Quicopt v0.1
G37,2000,11785,+1,7621,,,2.8,NVIDIA A100 80GB,Quicopt v0.1
G38,2000,11779,+1,7621,7687,99.14,2.53,NVIDIA A100 80GB,Quicopt v0.1
G39,2000,11778,±1,2364,2408,98.17,3.13,NVIDIA A100 80GB,Quicopt v0.1
G40,2000,11766,±1,2334,2400,97.25,5.35,NVIDIA A100 80GB,Quicopt v0.1
G41,2000,11785,±1,2335,2405,97.09,3.57,NVIDIA A100 80GB,Quicopt v0.1
G42,2000,11779,±1,2417,2481,97.42,3.52,NVIDIA A100 80GB,Quicopt v0.1
G43,1000,9990,+1,6653,6660,99.89,0.63,NVIDIA A100 80GB,Quicopt v0.1
G44,1000,9990,+1,6646,,,1.55,NVIDIA A100 80GB,Quicopt v0.1
G45,1000,9990,+1,6647,,,0.63,NVIDIA A100 80GB,Quicopt v0.1
G46,1000,9990,+1,6641,,,0.79,NVIDIA A100 80GB,Quicopt v0.1
G47,1000,9990,+1,6651,6657,99.91,0.53,NVIDIA A100 80GB,Quicopt v0.1
G48,3000,6000,+1,5934,6000,98.9,0.8,NVIDIA A100 80GB,Quicopt v0.1
G49,3000,6000,+1,5960,6000,99.33,0.82,NVIDIA A100 80GB,Quicopt v0.1
G50,3000,6000,+1,5844,5880,99.39,1.58,NVIDIA A100 80GB,Quicopt v0.1
G51,1000,5909,+1,3821,3848,99.3,1.56,NVIDIA A100 80GB,Quicopt v0.1
G52,1000,5916,+1,3823,3851,99.27,1.58,NVIDIA A100 80GB,Quicopt v0.1
G53,1000,5914,+1,3825,3850,99.35,1.35,NVIDIA A100 80GB,Quicopt v0.1
G54,1000,5916,+1,3821,3852,99.2,1.45,NVIDIA A100 80GB,Quicopt v0.1
G55,5000,12498,+1,10195,10294,99.04,2.15,NVIDIA A100 80GB,Quicopt v0.1
G56,5000,12498,±1,3907,4012,97.38,1.51,NVIDIA A100 80GB,Quicopt v0.1
G57,5000,10000,±1,3382,3494,96.79,1.54,NVIDIA A100 80GB,Quicopt v0.1
G58,5000,29570,+1,19104,19263,99.17,10.72,NVIDIA A100 80GB,Quicopt v0.1
G59,5000,29570,±1,5919,6078,97.38,14.53,NVIDIA A100 80GB,Quicopt v0.1
