instance,N,edges,set size,best-known,%_of_best,wall_time_s,hardware,solver
C125-9,125,787,34,34,100.0,1.08,AMD EPYC-Rome (1 core),Quicopt v0.1
C500-9,500,12418,54,57,94.74,1.14,AMD EPYC-Rome (1 core),Quicopt v0.1
C4000-5,4000,3997732,15,18,83.33,15.95,AMD EPYC-Rome (1 core),Quicopt v0.1
MANN-a9,45,918,3,3,100.0,1.01,AMD EPYC-Rome (1 core),Quicopt v0.1
R_500_005_1,500,6256,88,91,96.7,1.21,AMD EPYC-Rome (1 core),Quicopt v0.1
R_1000_005_1,1000,24670,112,117,95.73,1.52,AMD EPYC-Rome (1 core),Quicopt v0.1
aves-sparrow-social,52,454,13,13,100.0,1.01,AMD EPYC-Rome (1 core),Quicopt v0.1
brock200-1,200,14834,6,6,100.0,1.03,AMD EPYC-Rome (1 core),Quicopt v0.1
brock200-2,200,10024,11,12,91.67,1.03,AMD EPYC-Rome (1 core),Quicopt v0.1
brock200-3,200,12048,9,9,100.0,1.03,AMD EPYC-Rome (1 core),Quicopt v0.1
brock200-4,200,13089,8,8,100.0,1.03,AMD EPYC-Rome (1 core),Quicopt v0.1
brock400-1,400,20077,24,27,88.89,1.08,AMD EPYC-Rome (1 core),Quicopt v0.1
brock800-1,800,112095,19,23,82.61,1.25,AMD EPYC-Rome (1 core),Quicopt v0.1
c-fat200-1,200,1534,18,18,100.0,1.03,AMD EPYC-Rome (1 core),Quicopt v0.1
chesapeake,39,170,17,17,100.0,1.05,AMD EPYC-Rome (1 core),Quicopt v0.1
es60fst01,123,159,60,60,100.0,1.02,AMD EPYC-Rome (1 core),Quicopt v0.1
es60fst02,186,280,88,88,100.0,1.03,AMD EPYC-Rome (1 core),Quicopt v0.1
es60fst03,113,142,55,55,100.0,1.02,AMD EPYC-Rome (1 core),Quicopt v0.1
es60fst04,162,238,78,78,100.0,1.02,AMD EPYC-Rome (1 core),Quicopt v0.1
farm,17,39,10,10,100.0,1.01,AMD EPYC-Rome (1 core),Quicopt v0.1
football,35,118,16,16,100.0,1.02,AMD EPYC-Rome (1 core),Quicopt v0.1
frb45-21-3,945,58245,41,45,91.11,1.41,AMD EPYC-Rome (1 core),Quicopt v0.1
frb50-23-3,1150,81068,47,50,94.0,1.73,AMD EPYC-Rome (1 core),Quicopt v0.1
frb53-24-1,1272,94227,48,52,92.31,2.29,AMD EPYC-Rome (1 core),Quicopt v0.1
frb59-26-2,1534,126163,54,58,93.1,3.61,AMD EPYC-Rome (1 core),Quicopt v0.1
frb100-40,4000,572774,88,94,93.62,24.54,AMD EPYC-Rome (1 core),Quicopt v0.1
gen200_p0-9_44,200,1990,40,44,90.91,1.07,AMD EPYC-Rome (1 core),Quicopt v0.1
hamming6-2,64,1824,2,2,100.0,1.01,AMD EPYC-Rome (1 core),Quicopt v0.1
hamming6-4,64,704,12,12,100.0,1.02,AMD EPYC-Rome (1 core),Quicopt v0.1
hamming10-4,1024,89600,38,40,95.0,1.44,AMD EPYC-Rome (1 core),Quicopt v0.1
ibm32,32,90,13,13,100.0,1.01,AMD EPYC-Rome (1 core),Quicopt v0.1
insecta-ant-colony1-day38,56,1134,6,6,100.0,1.01,AMD EPYC-Rome (1 core),Quicopt v0.1
insecta-ant-colony3-day09,160,8883,9,9,100.0,1.03,AMD EPYC-Rome (1 core),Quicopt v0.1
johnson8-2-4,28,210,7,7,100.0,1.01,AMD EPYC-Rome (1 core),Quicopt v0.1
johnson8-4-4,70,1855,5,5,100.0,1.01,AMD EPYC-Rome (1 core),Quicopt v0.1
johnson16-2-4,120,5460,15,15,100.0,1.03,AMD EPYC-Rome (1 core),Quicopt v0.1
karate,34,78,20,20,100.0,1.03,AMD EPYC-Rome (1 core),Quicopt v0.1
keller4,171,5100,11,11,100.0,1.03,AMD EPYC-Rome (1 core),Quicopt v0.1
keller6,3361,1026582,50,59,84.75,18.74,AMD EPYC-Rome (1 core),Quicopt v0.1
mammalia-kangaroo-interactions,17,91,4,4,100.0,1.0,AMD EPYC-Rome (1 core),Quicopt v0.1
p_hat1500-1,1500,839327,11,12,91.67,3.99,AMD EPYC-Rome (1 core),Quicopt v0.1
p_hat1500-3,1500,277006,94,94,100.0,4.14,AMD EPYC-Rome (1 core),Quicopt v0.1
sloane_1dc_64,64,543,10,10,100.0,1.02,AMD EPYC-Rome (1 core),Quicopt v0.1
sloane_1dc_128,128,1471,16,16,100.0,1.02,AMD EPYC-Rome (1 core),Quicopt v0.1
sloane_1zc_128,128,1120,18,18,100.0,1.03,AMD EPYC-Rome (1 core),Quicopt v0.1
sloane_2dc_128,128,5173,5,5,100.0,1.03,AMD EPYC-Rome (1 core),Quicopt v0.1
socfb-haverford76,1446,59589,281,282,99.65,10.25,AMD EPYC-Rome (1 core),Quicopt v0.1
socfb-trinity100,2613,111996,495,499,99.2,137.39,AMD EPYC-Rome (1 core),Quicopt v0.1
sorrell4,2048,504451,22,24,91.67,7.4,AMD EPYC-Rome (1 core),Quicopt v0.1
sorrell7,2048,39424,182,198,91.92,7.8,AMD EPYC-Rome (1 core),Quicopt v0.1
